regex,facultyName,
\d{2}ZB\d{4},国際教養学部国際教養学科,
\d{2}LB1\d{3},文学部人文学科行動科学コース,
\d{2}LB2\d{3},文学部人文学科歴史学コース,
\d{2}LB4\d{3},文学部人文学科日本・ユーラシア文化コースコース,
\d{2}LB5\d{3},文学部人文学科国際言語文化学コース,
\d{2}LB6\d{3},文学部人文学科先進科学プログラム,
\d{2}BB\d{4},法政経学部法政経学科,
\d{2}EB10\d{2},教育学部学校教員養成課程小学校コース国語科専修,
\d{2}EB11\d{2},教育学部学校教員養成課程小学校コース社会科専修,
\d{2}EB12\d{2},教育学部学校教員養成課程小学校コース算数科専修,
\d{2}EB13\d{2},教育学部学校教員養成課程小学校コース理科専修,
\d{2}EB14\d{2},教育学部学校教員養成課程小学校コース教育学専修,
\d{2}EB15\d{2},教育学部学校教員養成課程小学校コース教育心理学専修,
\d{2}EB16\d{2},教育学部学校教員養成課程小学校コース技術・ものづくり専修,
\d{2}EB20\d{2},教育学部学校教員養成課程中学校コース国語科専修,
\d{2}EB21\d{2},教育学部学校教員養成課程中学校コース社会科専修,
\d{2}EB22\d{2},教育学部学校教員養成課程中学校コース算数科専修,
\d{2}EB23\d{2},教育学部学校教員養成課程中学校コース理科専修,
\d{2}EB24\d{2},教育学部学校教員養成課程中学校コース技術科専修,
\d{2}EB30\d{2},教育学部学校教員養成課程中学校コース音楽科教育分野,
\d{2}EB31\d{2},教育学部学校教員養成課程中学校コース図画工作・美術科教育分野,
\d{2}EB32\d{2},教育学部学校教員養成課程中学校コース保健体育科教育分野,
\d{2}EB33\d{2},教育学部学校教員養成課程中学校コース家庭科教育分野,
\d{2}EB4\d{3},教育学部学校教員養成課程英語教育コース,
\d{2}EB5\d{3},教育学部学校教員養成課程特別支援教育コース,
\d{2}EB6\d{3},教育学部学校教員養成課程乳幼児教育コース,
\d{2}EB7\d{3},教育学部学校教員養成課程養護教諭コース,
\d{2}SB1\d{3},理学部数学・情報数理学科,
\d{2}SB2\d{3},理学部物理学科,
\d{2}SB3\d{3},理学部化学科,
\d{2}SB4\d{3},理学部生物学科,
\d{2}SB5\d{3},理学部地球科学科,
\d{2}SB60\d{2},理学部先進科学プログラム物理学先進クラス,
\d{2}SB61\d{2},理学部先進科学プログラム物理学先進クラス（方式Ⅲ）,
\d{2}SB7\d{3},理学部先進科学プログラム化学先進クラス,
\d{2}SB8\d{3},理学部先進科学プログラム生物学先進クラス,
\d{2}TB0\d{3},工学部総合工学科建築学コース,
\d{2}TB1\d{3},工学部総合工学科都市工学コース,
\d{2}TB2\d{3},工学部総合工学科デザインコース,
\d{2}TB3\d{3},工学部総合工学科機械工学ース,
\d{2}TB4\d{3},工学部総合工学科医工学コース,
\d{2}TB5\d{3},工学部総合工学科電気電子工学,
\d{2}TB6\d{3},工学部総合工学科経営工学コース,
\d{2}TB7\d{3},工学部総合工学科共生応用化学コース,
\d{2}TB9\d{3},工学部総合工学科先進科学プログラム,
\d{2}RB1\d{3},情報・データサイエンス学部情報・データサイエンス学科,
\d{2}RB2\d{3},情報・データサイエンス学部先進科学プログラム,
\d{2}HB1\d{3},園芸学部園芸学科,
\d{2}HB2\d{3},園芸学部応用生命化学科,
\d{2}HB3\d{3},園芸学部緑地環境学科,
\d{2}HB4\d{3},園芸学部食料資源経済学科,
\d{2}HB5\d{3},園芸学部先進科学プログラム,
\d{2}MB\d{4},医学部医学科,
\d{2}PB\d{4},薬学部,
\d{2}NB\d{4},看護学部看護学科,